name,x,y,,
Cetus,176,219,,
Aries,118,169,,
Pisces,77,242,,
Pegasus,-27,205,,
Equuleus,-187,214,,
Delphinus,-193,168,,
Aquila,-263,125,,
Sagitta,-212,88,,
Cygnus,-104,99,,
Lyra,-179,47,,
Lacerta,-82,124,,
Andromeda,-18,131,,
Triangulum,96,132,,
Taurus,216,106,,
Perseus,98,82,,
Cassiopeia,26,88,,
Cepheus,-15,44,,
Draco,-86,-9,,
Ursa Minor,-20,20,,
Camelopardalis,21,28,,
Auriga,134,8,,
Orion,263,19,,
Hercules,-216,-59,,
Ophiuchus,-285,-47,,
Corona Borealis,-151,-93,,
Serpens Caput,-249,-127,,
Bootes,-156,-157,,
Ursa Major,14,-101,,
Canes Venatisi,-56,-124,,
Coma Berenices,-59,-194,,
Virgo,-64,-260,,
Leo,49,-232,,
Leo Minor,48,-154,,
Cancer,146,-116,,
Hydra,159,-206,,
Canis Minor,225,-90,,
Lynx,100,-55,,
Cancer,146,-118,,
